代号	中文名	英文名	等级	攻击力	攻速(秒/次)	射程	特效名称	特效描述
B	蓝宝石	Sapphire	1	2	1	600	减速1	移动速度-60
B	蓝宝石	Sapphire	2	4	1	600	减速2	移动速度-90
B	蓝宝石	Sapphire	3	6	1	600	减速3	移动速度-120
B	蓝宝石	Sapphire	4	8	1	600	减速4	移动速度-150
B	蓝宝石	Sapphire	5	10	1	600	减速5	移动速度-180
B	蓝宝石	Sapphire	6	36	0.6	600	减速MAX	移动速度-480
D	钻石	Diamond	1	5	1	500	-	纯物理输出
D	钻石	Diamond	2	10	1	500	-	纯物理输出
D	钻石	Diamond	3	20	1	500	-	纯物理输出
D	钻石	Diamond	4	40	1	500	攻击+20	基础攻击+20
D	钻石	Diamond	5	80	1	500	攻击+40	基础攻击+40
D	钻石	Diamond	6	460	0.7	500	攻击+320	基础攻击+320
E	蛋白石	Opal	1	1	1	500	光环1+真视	周围塔攻速+20，可显隐
E	蛋白石	Opal	2	2	1	500	光环2+真视	周围塔攻速+30，可显隐
E	蛋白石	Opal	3	3	1	500	光环3+真视	周围塔攻速+40，可显隐
E	蛋白石	Opal	4	4	1	500	光环4+真视	周围塔攻速+50，可显隐
E	蛋白石	Opal	5	5	1	500	光环5+真视	周围塔攻速+60，可显隐
E	蛋白石	Opal	6	6	1	500	光环MAX+真视	周围塔攻速+70，可显隐
G	翡翠	Emerald	1	2	1	500	毒素1	每秒2点魔法伤害，持续5秒
G	翡翠	Emerald	2	4	1	500	毒素2	每秒4点魔法伤害，持续5秒
G	翡翠	Emerald	3	6	1	500	毒素3	每秒8点魔法伤害，持续5秒
G	翡翠	Emerald	4	8	1	500	毒素4	每秒16点魔法伤害，持续5秒
G	翡翠	Emerald	5	10	1	500	毒素5	每秒32点魔法伤害，持续5秒
G	翡翠	Emerald	6	12	1	500	毒素MAX	每秒128点魔法伤害，持续5秒
P	紫水晶	Amethyst	1	2	0.6	500	减甲1	护甲-2
P	紫水晶	Amethyst	2	4	0.6	500	减甲2	护甲-4
P	紫水晶	Amethyst	3	6	0.6	500	减甲3	护甲-8
P	紫水晶	Amethyst	4	8	0.6	500	减甲4	护甲-16
P	紫水晶	Amethyst	5	10	0.6	500	减甲5	护甲-32
P	紫水晶	Amethyst	6	70	0.6	500	减甲MAX	护甲-64
Q	海蓝宝石	Aquamarine	1	2	1	400	攻速+200	攻击速度+200
Q	海蓝宝石	Aquamarine	2	4	0.9	400	攻速+200	攻击速度+200
Q	海蓝宝石	Aquamarine	3	8	0.8	400	攻速+200	攻击速度+200
Q	海蓝宝石	Aquamarine	4	16	0.7	400	攻速+200	攻击速度+200
Q	海蓝宝石	Aquamarine	5	24	0.6	400	攻速+200	攻击速度+200
Q	海蓝宝石	Aquamarine	6	80	0.5	500	攻速+500	攻击速度+500
R	红宝石	Ruby	1	4	1	500	溅射1	300范围内30%伤害
R	红宝石	Ruby	2	8	1	500	溅射2	350范围内40%伤害
R	红宝石	Ruby	3	12	1	500	溅射3	400范围内50%伤害
R	红宝石	Ruby	4	24	1	500	溅射4	450范围内60%伤害
R	红宝石	Ruby	5	48	1	500	溅射5	500范围内70%伤害
R	红宝石	Ruby	6	150	1	500	溅射MAX	700范围内100%伤害
Y	黄玉	Topaz	1	3	1.3	600	多重1	同时攻击3个敌人
Y	黄玉	Topaz	2	6	1.3	500	多重1	同时攻击3个敌人
Y	黄玉	Topaz	3	9	1.3	500	多重1	同时攻击3个敌人
Y	黄玉	Topaz	4	18	1.3	500	多重1	同时攻击3个敌人
Y	黄玉	Topaz	5	36	1.3	500	多重1	同时攻击3个敌人
Y	黄玉	Topaz	6	200	0.6	5000	多重1	同时攻击3个敌人(全图)
